Position, True thickness, Amplitude thickness
nm, nm, nm
, , 5% Noise
 16.600000,   7.450990,   7.379161
 16.700000,   7.647061,   7.662718
 16.800000,   7.843137,   7.707954
 16.900000,   8.039216,   7.720605
 17.000000,   8.235294,   7.716202
 17.100000,   8.431373,   7.721178
 17.200000,   8.627451,   8.037697
 17.300000,   8.823529,   9.116981
 17.400000,   9.019608,   9.392927
 17.500000,   9.215686,   9.460959
 17.600000,   9.411765,   9.506948
 17.700000,   9.607843,   9.586974
 17.800000,   9.803922,   9.887942
 17.900000,  10.000000,  10.403150
 18.000000,  10.196078,  10.493273
 18.100000,  10.392157,  10.526448
 18.200000,  10.588235,  10.552894
 18.300000,  10.784314,  10.619104
 18.400000,  10.980392,  10.877541
 18.500000,  11.176471,  11.275321
 18.600000,  11.372549,  11.562225
 18.700000,  11.568627,  11.805257
 18.800000,  11.764706,  11.999039
 18.900000,  11.960784,  12.155736
 19.000000,  12.156863,  12.304801
 19.100000,  12.352941,  12.484112
 19.200000,  12.549020,  12.848911
 19.300000,  12.745098,  13.316815
 19.400000,  12.941176,  13.584914
 19.500000,  13.137255,  13.702849
 19.600000,  13.333333,  13.803701
 19.700000,  13.529412,  13.954884
 19.800000,  13.725490,  14.376028
 19.900000,  13.921569,  14.472305
 20.000000,  14.117647,  14.501476
 20.100000,  14.313725,  14.493460
 20.200000,  14.509804,  14.498193
 20.300000,  14.705882,  14.545988
 20.400000,  14.901961,  14.819912
 20.500000,  15.098039,  15.230284
 20.600000,  15.294118,  15.368915
 20.700000,  15.490196,  15.536263
 20.800000,  15.686275,  15.972235
 20.900000,  15.882353,  16.770793
 21.000000,  16.078431,  17.084506
 21.100000,  16.274510,  17.089982
 21.200000,  16.470588,  17.027342
 21.300000,  16.666667,  16.864742
 21.400000,  16.862745,  16.833575
 21.500000,  17.058824,  16.855185
 21.600000,  17.254902,  17.299509
 21.700000,  17.450980,  17.449613
 21.800000,  17.647059,  17.476224
 21.900000,  17.843137,  17.494613
 22.000000,  18.039216,  17.559603
 22.100000,  18.235294,  17.937388
 22.200000,  18.431373,  18.765284
 22.300000,  18.627451,  19.158082
 22.400000,  18.823529,  19.213281
 22.500000,  19.019608,  19.199463
 22.600000,  19.215686,  19.092369
 22.700000,  19.411765,  18.955382
 22.800000,  19.607843,  18.931583
 22.900000,  19.803922,  18.987950
 23.000000,  20.000000,  19.697106
 23.100000,  20.196078,  20.896584
 23.200000,  20.392157,  21.412182
 23.300000,  20.588235,  21.455707
 23.400000,  20.784314,  21.466849
 23.500000,  20.980392,  21.472359
 23.600000,  21.176471,  21.481713
 23.700000,  21.372549,  21.512455
 23.800000,  21.568627,  21.663115
 23.900000,  21.764706,  21.787834
 24.000000,  21.960784,  21.897555
 24.100000,  22.156863,  22.097327
 24.200000,  22.352941,  22.583449
 24.300000,  22.549020,  23.191916
 24.400000,  22.745098,  23.321956
 24.500000,  22.941176,  23.329761
 24.600000,  23.137255,  23.321143
 24.700000,  23.333333,  23.331062
 24.800000,  23.529412,  23.405178
 24.900000,  23.725490,  23.864746
 25.000000,  23.921569,  23.920706
 25.100000,  24.117647,  23.933934
 25.200000,  24.313725,  23.927054
 25.300000,  24.509804,  23.971575
 25.400000,  24.705882,  24.849786
 25.500000,  24.901961,  25.955384
 25.600000,  25.098039,  26.020795
 25.700000,  25.294118,  26.020437
 25.800000,  25.490196,  26.013150
 25.900000,  25.686275,  26.025696
 26.000000,  25.882353,  26.145938
 26.100000,  26.078431,  26.600463
 26.200000,  26.274510,  27.089788
 26.300000,  26.470588,  27.154523
 26.400000,  26.666667,  27.174055
 26.500000,  26.862745,  27.190447
 26.600000,  27.058824,  27.217006
