sig_true, V_fit, V_err, V_fit, V_err, V_fit, V_err, V_fit, V_err
nm, V, V, V, V, V, V, V, V
, 0.1 V, 0.1 V, 0.4 V, 0.4 V, 0.7 V, 0.7 V, 1.0 V, 1.0 V
  0.500000,   0.140423,   0.001384,   0.405973,   0.001332,   0.729533,   0.001266,   1.033206,   0.001222
  0.700000,   0.094469,   0.000724,   0.431544,   0.000947,   0.720606,   0.001024,   1.018457,   0.000835
  0.900000,   0.116880,   0.001168,   0.361319,   0.001236,   0.670276,   0.000892,   0.976397,   0.001018
  1.100000,   0.106322,   0.001542,   0.362646,   0.000857,   0.686533,   0.000859,   1.012893,   0.000993
  1.300000,   0.119281,   0.000816,   0.381459,   0.000929,   0.674329,   0.000587,   1.004064,   0.000974
  1.500000,   0.100259,   0.001209,   0.412805,   0.000905,   0.675327,   0.000652,   0.993498,   0.000760
