sig_rec - sig_true, 0.1 V, 0.4 V, 0.7 V, 1.0 V, 0.1 V, 0.4 V, 0.7 V, 1.0 V, 0.1 V, 0.4 V, 0.7 V, 1.0 V, 0.1 V, 0.4 V, 0.7 V, 1.0 V
nm, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number
, 2% Noise, 2% Noise, 2% Noise, 2% Noise, 5% Noise, 5% Noise, 5% Noise, 5% Noise, 10% Noise, 10% Noise, 10% Noise, 10% Noise, 20% Noise, 20% Noise, 20% Noise, 20% Noise
  0.800000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   2.000000,   2.000000,   0.000000,   3.000000,   5.000000,   5.000000
  0.900000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   1.000000,   3.000000,   3.000000
  1.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   2.000000,   2.000000,   2.000000,   2.000000,   0.000000,   3.000000,   3.000000,   3.000000
  1.100000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000
  1.200000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   2.000000,   2.000000,   0.000000,   1.000000,   1.000000,   1.000000
  1.300000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   1.000000,   1.000000,   1.000000
  1.400000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   2.000000,   2.000000,   2.000000
  1.500000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000
  1.600000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   0.000000,   0.000000,   0.000000
  1.700000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000
  1.800000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000
  1.900000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000,   1.000000
