Position, V_true, V_rec, V_fit, V_rec, V_fit
nm, V, V, V, V, V
, , 5% Noise, 5% Noise, 10% Noise, 10% Noise
 36.400000,   0.000005,  -0.091029,  -0.034568,  -0.140025,  -0.054823
 36.500000,   0.000003,  -0.084689,  -0.034573,  -0.175010,  -0.054872
 36.600000,   0.000001,  -0.072299,  -0.034576,  -0.186156,  -0.054907
 36.700000,   0.000001,  -0.057690,  -0.034578,  -0.171659,  -0.054930
 36.800000,   0.000000,  -0.039162,  -0.034579,  -0.145138,  -0.054947
 36.900000,   0.000000,  -0.015304,  -0.034580,  -0.120812,  -0.054958
 37.000000,   0.000000,   0.008636,  -0.034580,  -0.099683,  -0.054965
 37.100000,   0.000000,   0.022714,  -0.034581,  -0.071459,  -0.054970
 37.200000,   0.000000,   0.021337,  -0.034581,  -0.030974,  -0.054974
 37.300000,   0.000000,   0.009146,  -0.034581,   0.009765,  -0.054976
 37.400000,   0.000000,  -0.002434,  -0.034581,   0.027734,  -0.054977
 37.500000,   0.000000,  -0.004166,  -0.034581,   0.008561,  -0.054978
 37.600000,   0.000000,   0.004514,  -0.034581,  -0.038212,  -0.054979
 37.700000,   0.000000,   0.015909,  -0.034581,  -0.087498,  -0.054979
 37.800000,   0.000000,   0.019569,  -0.034581,  -0.124020,  -0.054980
 37.900000,   0.000000,   0.008440,  -0.034581,  -0.151560,  -0.054980
 38.000000,   0.000000,  -0.017337,  -0.034581,  -0.176193,  -0.054980
 38.100000,   0.000000,  -0.049709,  -0.034581,  -0.187628,  -0.054980
 38.200000,   0.000000,  -0.075285,  -0.034581,  -0.161870,  -0.054980
 38.300000,   0.000000,  -0.081855,  -0.034581,  -0.086179,  -0.054980
 38.400000,   0.000000,  -0.067053,  -0.026026,   0.018532,  -0.038951
 38.500000,   0.000000,  -0.041530,  -0.026026,   0.107421,  -0.038951
 38.600000,   0.000000,  -0.020342,  -0.026026,   0.147398,  -0.038951
 38.700000,   0.000000,  -0.009808,  -0.026026,   0.139021,  -0.038951
 38.800000,   0.000000,  -0.003864,  -0.026026,   0.106501,  -0.038951
 38.900000,   0.000000,   0.007115,  -0.026026,   0.073505,  -0.038951
 39.000000,   0.000000,   0.024649,  -0.026026,   0.047375,  -0.038951
 39.100000,   0.000000,   0.039434,  -0.026026,   0.021371,  -0.038951
 39.200000,   0.000000,   0.040143,  -0.026026,  -0.012151,  -0.038951
 39.300000,   0.000000,   0.023699,  -0.026026,  -0.052887,  -0.038951
 39.400000,   0.000000,  -0.003196,  -0.026026,  -0.092960,  -0.038951
 39.500000,   0.000000,  -0.030040,  -0.026026,  -0.120375,  -0.038951
 39.600000,   0.000000,  -0.048639,  -0.026026,  -0.123494,  -0.038951
 39.700000,   0.000000,  -0.055653,  -0.026026,  -0.099035,  -0.038951
 39.800000,   0.000000,  -0.052885,  -0.026026,  -0.058637,  -0.038951
 39.900000,   0.000000,  -0.046672,  -0.026025,  -0.024065,  -0.038951
 40.000000,   0.000001,  -0.045157,  -0.026025,  -0.012251,  -0.038951
 40.100000,   0.000001,  -0.052718,  -0.026024,  -0.022736,  -0.038951
 40.200000,   0.000002,  -0.065192,  -0.026022,  -0.039733,  -0.038951
 40.300000,   0.000004,  -0.072531,  -0.026020,  -0.050164,  -0.038951
 40.400000,   0.000006,  -0.069457,  -0.026015,  -0.060776,  -0.038950
 40.500000,   0.000011,  -0.062696,  -0.026008,  -0.093082,  -0.038950
 40.600000,   0.000019,  -0.064779,  -0.025996,  -0.156869,  -0.038949
 40.700000,   0.000031,  -0.079898,  -0.025977,  -0.230258,  -0.038947
 40.800000,   0.000051,  -0.096819,  -0.025947,  -0.272938,  -0.038945
 40.900000,   0.000084,  -0.098817,  -0.025901,  -0.259354,  -0.038940
 41.000000,   0.000135,  -0.081553,  -0.025830,  -0.197199,  -0.038931
 41.100000,   0.000214,  -0.056965,  -0.025721,  -0.120316,  -0.038916
 41.200000,   0.000335,  -0.039029,  -0.025558,  -0.062917,  -0.038891
 41.300000,   0.000520,  -0.029161,  -0.025316,  -0.034316,  -0.038850
 41.400000,   0.000796,  -0.017077,  -0.024962,  -0.020418,  -0.038782
 41.500000,   0.001204,   0.003610,  -0.024449,  -0.006487,  -0.038674
 41.600000,   0.001798,   0.023723,  -0.023716,   0.007846,  -0.038503
 41.700000,   0.002653,   0.027039,  -0.022682,   0.012308,  -0.038237
 41.800000,   0.003866,   0.009782,  -0.021242,  -0.000252,  -0.037828
 41.900000,   0.005564,  -0.011595,  -0.019261,  -0.026687,  -0.037212
 42.000000,   0.007911,  -0.014487,  -0.016571,  -0.058549,  -0.036295
 42.100000,   0.011109,   0.007839,  -0.012963,  -0.085492,  -0.034954
 42.200000,   0.015408,   0.040742,  -0.008190,  -0.091957,  -0.033021
 42.300000,   0.021110,   0.063835,  -0.001954,  -0.061740,  -0.030281
 42.400000,   0.028566,   0.069097,   0.006086,   0.002790,  -0.026456
 42.500000,   0.038180,   0.064485,   0.016313,   0.072999,  -0.021203
 42.600000,   0.050406,   0.063175,   0.029149,   0.114074,  -0.014105
 42.700000,   0.065729,   0.071894,   0.045043,   0.108926,  -0.004667
 42.800000,   0.084658,   0.089555,   0.064454,   0.072004,   0.007675
 42.900000,   0.107701,   0.113222,   0.087829,   0.045603,   0.023550
 43.000000,   0.135335,   0.141336,   0.115580,   0.063935,   0.043625
 43.100000,   0.167973,   0.171586,   0.148053,   0.120133,   0.068579
 43.200000,   0.205924,   0.199658,   0.185488,   0.181472,   0.099062
 43.300000,   0.249352,   0.222979,   0.227993,   0.223971,   0.135639
 43.400000,   0.298234,   0.245367,   0.275499,   0.249411,   0.178736
 43.500000,   0.352322,   0.275816,   0.327737,   0.277172,   0.228570
 43.600000,   0.411112,   0.321555,   0.384209,   0.318841,   0.285086
 43.700000,   0.473827,   0.383379,   0.444177,   0.366663,   0.347899
 43.800000,   0.539408,   0.457863,   0.506657,   0.408530,   0.416249
 43.900000,   0.606531,   0.541671,   0.570437,   0.446205,   0.488976
 44.000000,   0.673638,   0.631721,   0.634105,   0.497052,   0.564522
 44.100000,   0.738991,   0.721857,   0.696091,   0.574862,   0.640961
 44.200000,   0.800737,   0.801994,   0.754733,   0.671181,   0.716072
 44.300000,   0.856997,   0.862470,   0.808343,   0.763070,   0.787427
 44.400000,   0.905955,   0.899970,   0.855288,   0.832778,   0.852524
 44.500000,   0.945959,   0.919587,   0.894072,   0.877944,   0.908925
 44.600000,   0.975611,   0.930604,   0.923419,   0.910540,   0.954406
 44.700000,   0.993846,   0.939354,   0.942333,   0.945072,   0.987105
 44.800000,   1.000000,   0.945753,   0.950165,   0.985053,   1.005646
 44.900000,   0.993846,   0.945253,   0.946642,   1.021911,   1.009234
 45.000000,   0.975611,   0.932481,   0.931886,   1.043031,   0.997715
 45.100000,   0.945959,   0.903613,   0.906409,   1.039323,   0.971585
 45.200000,   0.905955,   0.857750,   0.871078,   1.008985,   0.931953
 45.300000,   0.856997,   0.798205,   0.827071,   0.955240,   0.880466
 45.400000,   0.800737,   0.732862,   0.775810,   0.880959,   0.819194
 45.500000,   0.738991,   0.671670,   0.718885,   0.787984,   0.750491
 45.600000,   0.673638,   0.621347,   0.657971,   0.681889,   0.676849
 45.700000,   0.606531,   0.581337,   0.594752,   0.574656,   0.600747
 45.800000,   0.539408,   0.545476,   0.530838,   0.479277,   0.524518
 45.900000,   0.473827,   0.507619,   0.467709,   0.401629,   0.450238
 46.000000,   0.411112,   0.464545,   0.406657,   0.339199,   0.379645
 46.100000,   0.352322,   0.413876,   0.348755,   0.285219,   0.314090
 46.200000,   0.298234,   0.352295,   0.294835,   0.232005,   0.254522
 46.300000,   0.249352,   0.278853,   0.245485,   0.173757,   0.201497
 46.400000,   0.205924,   0.200450,   0.201059,   0.111111,   0.155221
 46.500000,   0.167973,   0.131315,   0.161699,   0.054238,   0.115597
 46.600000,   0.135335,   0.083799,   0.127361,   0.018238,   0.082291
 46.700000,   0.107701,   0.059653,   0.097849,   0.010817,   0.054795
 46.800000,   0.084658,   0.050781,   0.072855,   0.023605,   0.032493
 46.900000,   0.065729,   0.046168,   0.051988,   0.038161,   0.014714
 47.000000,   0.050406,   0.037159,   0.034810,   0.040480,   0.000780
 47.100000,   0.038180,   0.018973,   0.020864,   0.029278,  -0.009959
 47.200000,   0.028566,  -0.008578,   0.009696,   0.013319,  -0.018100
 47.300000,   0.021110,  -0.039349,   0.000872,   0.002764,  -0.024170
 47.400000,   0.015408,  -0.061277,  -0.006007,   0.002059,  -0.028624
 47.500000,   0.011109,  -0.063746,  -0.011300,   0.008909,  -0.031839
 47.600000,   0.007911,  -0.049059,  -0.015319,   0.016916,  -0.034124
 47.700000,   0.005564,  -0.034155,  -0.018332,   0.018005,  -0.035722
 47.800000,   0.003866,  -0.035720,  -0.020561,   0.005828,  -0.036822
 47.900000,   0.002653,  -0.053232,  -0.022189,  -0.018818,  -0.037567
 48.000000,   0.001798,  -0.067480,  -0.023364,  -0.046161,  -0.038065
 48.100000,   0.001204,  -0.058255,  -0.024200,  -0.064768,  -0.038391
 48.200000,   0.000796,  -0.026460,  -0.024788,  -0.072639,  -0.038603
 48.300000,   0.000520,   0.006051,  -0.025197,  -0.080149,  -0.038737
 48.400000,   0.000335,   0.019651,  -0.025477,  -0.100158,  -0.038822
 48.500000,   0.000214,   0.013830,  -0.025667,  -0.133635,  -0.038874
 48.600000,   0.000135,   0.002774,  -0.025793,  -0.165920,  -0.038906
 48.700000,   0.000084,  -0.001977,  -0.025877,  -0.179312,  -0.038925
 48.800000,   0.000051,  -0.003379,  -0.025932,  -0.168247,  -0.038936
 48.900000,   0.000031,  -0.011233,  -0.025967,  -0.140148,  -0.038943
 49.000000,   0.000019,  -0.025805,  -0.025990,  -0.104518,  -0.038946
 49.100000,   0.000011,  -0.034856,  -0.026004,  -0.066530,  -0.038948
 49.200000,   0.000006,  -0.027669,  -0.026013,  -0.031622,  -0.038950
 49.300000,   0.000004,  -0.009885,  -0.026018,  -0.010220,  -0.038950
 49.400000,   0.000002,  -0.000823,  -0.026021,  -0.010676,  -0.038951
 49.500000,   0.000001,  -0.014319,  -0.026023,  -0.026637,  -0.038951
 49.600000,   0.000001,  -0.044356,  -0.026025,  -0.037225,  -0.038951
 49.700000,   0.000000,  -0.071237,  -0.026025,  -0.025316,  -0.038951
 49.800000,   0.000000,  -0.080913,  -0.026026,   0.004024,  -0.038951
 49.900000,   0.000000,  -0.075538,  -0.026026,   0.026873,  -0.038951
 50.000000,   0.000000,  -0.065451,  -0.026026,   0.024636,  -0.038951
 50.100000,   0.000000,  -0.055045,  -0.026026,   0.003210,  -0.038951
 50.200000,   0.000000,  -0.039035,  -0.026026,  -0.014301,  -0.038951
 50.300000,   0.000000,  -0.012612,  -0.026026,  -0.013009,  -0.038951
 50.400000,   0.000000,   0.017155,  -0.026026,  -0.001420,  -0.038951
 50.500000,   0.000000,   0.034070,  -0.026026,   0.000378,  -0.038951
 50.600000,   0.000000,   0.027379,  -0.026026,  -0.014980,  -0.038951
 50.700000,   0.000000,   0.002836,  -0.026026,  -0.035369,  -0.038951
 50.800000,   0.000000,  -0.019821,  -0.026026,  -0.046649,  -0.038951
 50.900000,   0.000000,  -0.022112,  -0.026026,  -0.048748,  -0.038951
 51.000000,   0.000000,  -0.002689,  -0.026026,  -0.050519,  -0.038951
 51.100000,   0.000000,   0.020767,  -0.026026,  -0.053356,  -0.038951
